plant_name,plant_id_epa,plant_id_eia,unitid,generator_id,boiler_id,fuel_type_primary,fuel_type_code,fuel_type_eia,prime_mover_code,edat_capacity_mw,heat_input_mmbtu,generator_id_match_method,op_status,op_status_date
Barry,3.0,3.0,1,1,1,Pipeline Natural Gas,NG,NG,ST,180.0,184780.525,X-walk from Travis,OPR,Feb/11/1954 
Barry,3.0,3.0,2,2,2,Pipeline Natural Gas,NG,NG,ST,180.0,188881.7,X-walk from Travis,OPR,Jun/18/1954 
Barry,3.0,3.0,4,4,4,Coal,CBL,BIT,ST,400.0,12242519.45,X-walk from Travis,OPR,May/28/1969 
Barry,3.0,3.0,5,5,5,Coal,CBL,BIT,ST,800.0,33224781.5,X-walk from Travis,OPR,Jul/24/1971 
Barry,3.0,3.0,6A,A1ST,6A,Pipeline Natural Gas,NG,NG,CT,312.0,15147521.0,X-walk from Travis,OPR,Feb/22/2000 
Barry,3.0,3.0,6A,A1CT,6A,Pipeline Natural Gas,NG,NG,CT,312.0,15147521.0,X-walk from Travis,OPR,Feb/22/2000 
Barry,3.0,3.0,6B,A1CT2,6B,Pipeline Natural Gas,NG,NG,CT,339.0,14257306.93,X-walk from Travis,OPR,Feb/22/2000 
Barry,3.0,3.0,6B,A1ST,6B,Pipeline Natural Gas,NG,NG,CT,339.0,14257306.93,X-walk from Travis,OPR,Feb/22/2000 
Barry,3.0,3.0,7A,A2C1,7A,Pipeline Natural Gas,NG,NG,CT,346.0,15023511.85,X-walk from Travis,OPR,Dec/11/2000 
Barry,3.0,3.0,7A,A2ST,7A,Pipeline Natural Gas,NG,NG,CT,346.0,15023511.85,X-walk from Travis,OPR,Dec/11/2000 
Barry,3.0,3.0,7B,A2C2,7B,Pipeline Natural Gas,NG,NG,CT,298.0,15285330.6,X-walk from Travis,OPR,Jan/09/2001 
Barry,3.0,3.0,7B,A2ST,7B,Pipeline Natural Gas,NG,NG,CT,298.0,15285330.6,X-walk from Travis,OPR,Jan/09/2001 
Gadsden,7.0,7.0,1,1,1,Pipeline Natural Gas,NG,NG,ST,618.0,2109684.4,X-walk from Travis,OPR,Apr/01/1949 
Gadsden,7.0,7.0,2,2,2,Pipeline Natural Gas,NG,NG,ST,700.0,625085.0,X-walk from Travis,OPR,Jul/20/1949 
Gorgas,8.0,8.0,10,10,10,Coal,CBL,BIT,ST,769.0,44973436.83,X-walk from Travis,OPR,Jun/26/1972 
Gorgas,8.0,8.0,8,8,8,Coal,CBL,BIT,ST,190.0,7460104.025,X-walk from Travis,OPR,May/31/1956 
Gorgas,8.0,8.0,9,9,9,Coal,CBL,BIT,ST,196.0,7419793.825,X-walk from Travis,OPR,May/10/1958 
Copper Station,9.0,9.0,CTG-1,1,,Pipeline Natural Gas,NG,NG,GT,70.0,560168.392,X-walk from Travis,OPR,Jul/01/1980 
Greene County,10.0,10.0,1,1,1,Pipeline Natural Gas,NG,NG,ST,288.0,5255168.8,X-walk from Travis,OPR,May/04/1965 
